company_name,uen_no,class,class_code,additional_info,expiry_date,building_no,street_name,unit_no,building_name,postal_code,tel_no
DINGZHOU CONSTRUCTION PTE LTD,200001873M,Specialist Builder (Piling Works),SB(PW),na,28/8/18,3791,JALAN BUKIT MERAH,42614,E-CENTRE @ REDHILL,159471,62711188
DIPCIE CONTRACTORS PTE. LTD.,200312338H,General Builder Class 2,GB2,na,16/5/17,196,WOODLANDS INDUSTRIAL PARK E5,na,WOODLANDS BIZHUB,757279,62950252
DISTINCT BUILDERS PTE LTD,199903839W,General Builder Class 1,GB1,na,29/6/17,203,HOUGANG STREET 21,#04-65,na,530203,66369838
DISTINCT GLOBAL PTE LTD,199000387E,General Builder Class 2,GB2,na,5/2/19,12,KWONG MIN ROAD,na,na,628714,63687802
DIVINE N' DYNAMIC PTE LTD,199307709H,General Builder Class 2,GB2,na,2/7/18,201,JOO CHIAT ROAD,#01-03,na,427472,64935577
DL SPACE PTE. LTD.,200414600D,General Builder Class 2,GB2,na,13/8/18,89,MCNAIR ROAD,na,TOWNERVILLE,328558,62526255
DLE M&E PTE. LTD.,200913426G,General Builder Class 1,GB1,na,2/7/18,2,KAKI BUKIT VIEW,#05-00,KAKI BUKIT TECHPARK 2,415942,67478633
DLE SOLUTIONS PTE. LTD.,S97FC5352C,General Builder Class 2,GB2,na,5/5/18,13,LORONG 8 TOA PAYOH,#02-12,BRADDELL TECH,319261,81231313
DLE SOLUTIONS PTE. LTD.,198902183M,Specialist Builder (Structural Steelwork),SB(SS),na,5/5/18,13,LORONG 8 TOA PAYOH,#02-12,BRADDELL TECH,319261,81231313
DMC PROJECTS PTE. LTD.,200619311M,General Builder Class 2,GB2,na,16/6/18,132B,TELOK AYER STREET,na,na,68599,62276911
DMH CONSTRUCTION PTE. LTD.,199600658D,General Builder Class 2,GB2,na,24/11/18,22,WOODLANDS LINK,#01-49,na,738734,63975585
DMX CONSTRUCTIONS,197902194K,General Builder Class 2,GB2,na,1/4/18,192A,YIO CHU KANG ROAD,na,na,545639,62855855
DN HYBRID PTE. LTD.,199203536R,Specialist Builder (Structural Steelwork),SB(SS),na,8/7/18,143,WOODLANDS INDUSTRIAL PARK E5,na,na,757508,63374247
DN HYBRID PTE. LTD.,201318753C,General Builder Class 1,GB1,na,2/7/18,143,WOODLANDS INDUSTRIAL PARK E5,na,na,757508,63374247
DN JOOCON PTE. LTD.,201425146G,General Builder Class 2,GB2,na,1/11/16,143,WOODLANDS INDUSTRIAL PARK E5,na,na,757508,63648133
DOKOTA PTE LTD,201225582E,General Builder Class 1,GB1,na,2/7/18,1004,TOA PAYOH INDUSTRIAL PARK,#01-1499,na,319076,62540277
DOMAIN TRADING & CONSTRUCTION PTE LTD,200619172K,General Builder Class 2,GB2,na,25/6/18,181,KAKI BUKIT AVENUE 1,na,SHUN LI INDUSTRIAL PARK,416025,67497272
DONG CONSTRUCTION & ENGINEERING PTE. LTD.,200805754W,General Builder Class 2,GB2,na,7/6/19,11,WOODLANDS CLOSE,#06-04,WOODLANDS 11,737853,63392325
DONG HUI CONSTRUCTION PTE. LTD.,200818626N,General Builder Class 2,GB2,na,9/6/17,8,RIVERVALE LINK,#09-15,PARK GREEN,545043,96391958
DONG ZHOU ENGINEERING PTE. LTD.,199604969R,General Builder Class 2,GB2,na,29/10/18,27,WOODLANDS INDUSTRIAL PARK E1,#03-09A,HIANGKIE INDUSTRIAL BUILDING,757718,64040562
DONG-A CONSULTANTS ASIA PTE LTD,197901538Z,Specialist Builder (Site Investigation Work),SB(SI),na,18/6/18,7030,ANG MO KIO AVENUE 5,#04-01,NORTHSTAR @ AMK,569880,67781841
DONG-A CONSULTANTS ASIA PTE LTD,201206550E,Specialist Builder (Ground Support and Stabilisation Works),SB(GS),na,9/8/16,7030,ANG MO KIO AVENUE 5,#04-01,NORTHSTAR @ AMK,569880,67781841
"DONGAH GEOLOGICAL ENGINEERING CO., LTD, SINGAPORE BRANCH",201436494G,General Builder Class 1,GB1,na,16/6/18,192,WATERLOO STREET,#04-07,SKYLINE BUILDING,187966,67456530
