company_name,uen_no,class,class_code,additional_info,expiry_date,building_no,street_name,unit_no,building_name,postal_code,tel_no
EMERGENT ENGINEERING PTE. LTD.,200203354E,General Builder Class 1,GB1,na,3/7/18,80,GENTING LANE,#07-04,RUBY INDUSTRIAL COMPLEX,349565,67464101
EMK CONSTRUCTION PTE LTD,200913056G,General Builder Class 2,GB2,na,29/11/17,3013,BEDOK INDUSTRIAL PARK E,#01-2090,na,489979,64427905
EML DC PTE. LTD.,199601672Z,General Builder Class 2,GB2,na,17/7/18,10,ADMIRALTY STREET,#02-63,NORTH LINK BUILDING,757695,65564540
EMMA CONTRACT PTE. LTD.,201200382W,General Builder Class 2,GB2,na,19/6/18,805,BUKIT TIMAH ROAD,#01-01,SIXTH AVENUE CENTRE,279883,64637738
EMMA GROUPS CONSTRUCTION PTE. LTD.,199403364K,General Builder Class 2,GB2,na,6/4/17,805,BUKIT TIMAH ROAD,#01-01,SIXTH AVENUE CENTRE,279883,64637738
ENERTECH CONSTRUCTION PTE. LTD.,201607711E,General Builder Class 2,GB2,na,12/12/16,520,SIMS AVENUE,#02-07,na,387580,63383507
ENFORCE GROUP PTE. LTD.,200107221C,General Builder Class 2,GB2,na,24/11/18,51,JALAN PEMIMPIN,#02-06,MAYFAIR INDUSTRIAL BUILDING,577206,63541665
ENG BAN BUILDERS PTE. LTD.,199800036R,General Builder Class 2,GB2,na,16/7/18,163,TRAS STREET,#06-03,LIAN HUAT BUILDING,79024,94878383
ENG CHIN HANG CONSTRUCTION PTE LTD,199103189K,General Builder Class 1,GB1,na,20/7/18,76,PLAYFAIR ROAD,#06-01,na,367996,68443208
ENG HIAP KIONG GENERAL CONTRACTOR PTE LTD,200514397N,General Builder Class 2,GB2,na,30/6/18,45,SIMS DRIVE,#01-168,na,380045,62426438
ENG HOE ENGINEERING WORKS,201204404W,Specialist Builder (Structural Steelwork),SB(SS),na,3/7/18,5,ANG MO KIO INDUSTRIAL PARK 2A,#06-08,AMK TECH II,567760,64818261
ENG HUAT HENG MACHINERY CONSTRUCTION,201111590H,General Builder Class 2,GB2,na,16/6/18,204,HOUGANG STREET 21,#02-107,na,530204,62836696
ENG HUP ENGINEERING PTE LTD,200305188N,General Builder Class 2,GB2,na,26/6/18,27,WOODLANDS INDUSTRIAL PARK E1,#04-16,HIANGKIE INDUSTRIAL BUILDING,757718,63679079
ENG JOO CONSTRUCTION PTE LTD,199002697N,General Builder Class 2,GB2,na,15/7/18,113,RIVERVALE WALK,#17-45,na,540113,67832063
ENG LAM CONTRACTORS CO (PTE) LTD,200701828H,General Builder Class 1,GB1,na,16/6/18,30,TAGORE LANE,na,SINDO INDUSTRIAL ESTATE,787484,64567667
ENG LEE ENGINEERING PTE LTD,199403805W,Specialist Builder (Structural Steelwork),SB(SS),na,8/7/18,12,KIAN TECK CRESCENT,na,na,628879,62619119
ENG LEE ENGINEERING PTE LTD,200412883N,Specialist Builder (In-situ Post-tensioning Work),SB(PT),na,30/10/18,12,KIAN TECK CRESCENT,na,na,628879,62619119
ENG LEE ENGINEERING PTE LTD,200803039M,Specialist Builder (Piling Works),SB(PW),na,30/10/18,12,KIAN TECK CRESCENT,na,na,628879,62619119
ENG LEE ENGINEERING PTE LTD,197600007K,General Builder Class 1,GB1,na,16/6/18,12,KIAN TECK CRESCENT,na,na,628879,62619119
ENG LEE ENGINEERING PTE LTD,200914816H,Specialist Builder (Pre-cast Concrete Work),SB(PC),na,16/6/18,12,KIAN TECK CRESCENT,na,na,628879,62619119
ENG LIM CONSTRUCTION COMPANY PRIVATE LIMITED,201432050H,General Builder Class 1,GB1,na,16/6/18,211,HOLLAND AVENUE,#04-03,HOLLAND ROAD SHOPPING CENTRE,278967,64668200
ENG SENG CEMENT PRODUCTS (PTE.) LTD.,200909402W,Specialist Builder (Pre-cast Concrete Work),SB(PC),na,29/10/17,7,SUNGEI KADUT DRIVE,na,KRANJI INDUSTRIAL ESTATE,729560,63673188
ENG SENG CONSTRUCTION (PTE.) LTD.,33974800A,General Builder Class 1,GB1,na,26/6/18,24,SENOKO AVENUE,na,na,758310,67545555
ENG SENG LEE CONSTRUCTION COMPANY PRIVATE LIMITED,201025925M,General Builder Class 1,GB1,na,16/6/18,10,BUKIT BATOK CRESCENT,#12-05,THE SPIRE,658079,63163882
ENG SENG TECH PTE. LTD.,199606852E,Specialist Builder (Pre-cast Concrete Work),SB(PC),na,15/5/17,24,WOODLANDS INDUSTRIAL PARK E5,na,na,757801,63687737
ENG SENG TECH PTE. LTD.,201216119M,General Builder Class 2,GB2,na,16/6/18,24,WOODLANDS INDUSTRIAL PARK E5,na,na,757801,63687737
ENG TECK PILING CONSTRUCTION PTE. LTD.,201544131D,General Builder Class 2,GB2,na,15/12/18,8,BURN ROAD,#07-07,TRIVEX,369977,62860800
ENG XIAN CONSTRUCTION PTE LTD,200414966H,General Builder Class 2,GB2,na,16/6/18,85,KAKI BUKIT INDUSTRIAL TERRACE,na,na,416165,67413218
ENGIE SERVICES ASIA-PACIFIC PTE. LTD.,200313134M,General Builder Class 1,GB1,na,16/6/18,146B,PAYA LEBAR ROAD,#03-01,ACE BUILDING,409017,64401818
ENGIE SERVICES SINGAPORE PTE. LTD.,201504552E,General Builder Class 2,GB2,na,26/4/19,108,PASIR PANJANG ROAD,#05-04,GOLDEN AGRI PLAZA,118535,65134050
ENOVATE SYSTEM PRIVATE LIMITED,201011819E,General Builder Class 2,GB2,na,17/10/18,18,BOON LAY WAY,#10-103,TRADEHUB 21,609966,68792126
ENTIRE CONSTRUCTION PTE. LTD.,201217153N,General Builder Class 2,GB2,na,30/6/18,11,SIXTH LOK YANG ROAD,na,na,628109,62615788
ENTRON CONSTRUCTION PTE. LTD.,201228667W,General Builder Class 2,GB2,na,16/6/18,71,UBI ROAD 1,#09-44,OXLEY BIZHUB,408732,62842533
ENVIRON CONSTRUCTION CO (PTE) LTD,200810164Z,General Builder Class 1,GB1,na,24/6/18,71,TANNERY LANE,#10-06,CITY INDUSTRIAL BUILDING,347807,63834833
ENVIRONMENTAL LANDSCAPE PTE LTD,200718284G,General Builder Class 1,GB1,na,16/6/18,8,KENSINGTON PARK DRIVE,#01-04,KENSINGTON PARK,557323,62829488
ENVIROTEC CONTROLS (ASIA PACIFIC) PTE. LTD.,198903171N,General Builder Class 2,GB2,na,24/3/17,111,NORTH BRIDGE ROAD,#21-01,PENINSULA PLAZA,179098,63891722
EPM ENGINEERING PTE. LTD.,200105052H,General Builder Class 2,GB2,na,27/7/18,531,UPPER CROSS STREET,17624,HONG LIM COMPLEX,50531,65364637
EPOCH BUILDING & ENGINEERING PTE LTD,201133404M,General Builder Class 2,GB2,na,20/10/18,195,PEARL'S HILL TERRACE,#02-60,na,168976,65572726
EPOCH METAL PTE. LTD.,200102784C,Specialist Builder (Structural Steelwork),SB(SS),na,22/8/18,10,GUL STREET 2,na,na,629295,65640818
EPOCH METAL PTE. LTD.,53293277C,General Builder Class 1,GB1,na,28/7/18,10,GUL STREET 2,na,na,629295,65640818
EPS FACADE PTE LTD,201510119E,General Builder Class 1,GB1,na,25/11/17,20,SIN MING LANE,#08-67,MIDVIEW CITY,573968,65705068
ERECON CONSTRUCTION CO PTE LTD,201511803E,General Builder Class 1,GB1,na,16/6/18,5,ANG MO KIO INDUSTRIAL PARK 2A,#06-08,na,567760,64818261
ES GEOTECH PTE. LTD.,199200311W,Specialist Builder (Site Investigation Work),SB(SI),na,1/3/19,18,BOON LAY WAY,#03-132,TRADEHUB 21,609966,66862836
ESPIRIT BUILDING & ENGINEERING PTE. LTD.,200720925K,General Builder Class 2,GB2,na,12/11/18,3012,BEDOK INDUSTRIAL PARK E,#03-2022,na,489978,31573326
ESSAR ENGINEERING PTE. LTD.,200805579H,General Builder Class 2,GB2,na,7/12/18,158,PANDAN LOOP,na,na,128356,67772455
ESSAR PROJECTS SINGAPORE PTE. LTD.,198502239N,General Builder Class 1,GB1,na,26/9/17,10,BUKIT BATOK CRESCENT,#09-08,THE SPIRE,658079,66430902
ESSCO DEVELOPMENT PTE LTD,200709750R,General Builder Class 1,GB1,na,15/6/18,315,OUTRAM ROAD,#08-01,TAN BOON LIAT BUILDING,169074,63630555
ETAR CONSTRUCTION PTE. LTD.,197301492N,General Builder Class 2,GB2,na,16/3/18,1,SOPHIA ROAD,#06-22,PEACE CENTRE,228149,66492188
ETERNAL ENGINEERING PTE LTD,198901568D,General Builder Class 2,GB2,na,17/7/18,865,MOUNTBATTEN ROAD,#05-31,KATONG SHOPPING CENTRE,437844,63484968
ETL BUILDING SERVICES PTE. LTD.,T08FC7273D,General Builder Class 2,GB2,na,31/7/18,1,YISHUN STREET 23,#02-24,YS ONE,768441,65561078
EUCONAIR SERVICES PTE. LTD.,T14FC0110H,General Builder Class 2,GB2,na,11/5/18,8,KAKI BUKIT AVENUE 4,#06-25,PREMIER AT KAKI BUKIT,415875,67021052
EURO BUILDER AND ELECTRICAL PTE. LTD.,201115631D,General Builder Class 1,GB1,na,4/5/19,53,UBI AVENUE 1,#05-31,PAYA UBI INDUSTRIAL PARK,408934,68418911
EUROBUILD PTE LTD,199404640C,General Builder Class 2,GB2,na,16/6/18,1,COMMONWEALTH LANE,#08-24,ONE COMMONWEALTH,149544,65693480
EVAN LIM & CO PTE LTD,201221089D,General Builder Class 1,GB1,na,16/6/18,11,MANDAI ESTATE,#12-01,ELDIX BUILDING,729908,65056000
EVER SAN CONSTRUCTION PTE LTD,199506261R,General Builder Class 2,GB2,na,16/6/18,201E,TAMPINES STREET 23,#04-100,na,527201,67886920
EVERBUILDER PTE. LTD.,198402298R,General Builder Class 2,GB2,na,24/11/17,6001,BEACH ROAD,#12-02,GOLDEN MILE TOWER,199589,97662693
EVERGREEN 96 DESIGN CONSTRUCTION PTE LTD,200002977G,General Builder Class 2,GB2,na,19/5/19,1,YISHUN INDUSTRIAL STREET 1,#08-02,A'POSH BIZHUB,768160,94508987
EVERGREEN ENGINEERING & CONSTRUCTION PTE LTD,199701490W,General Builder Class 2,GB2,na,8/2/18,85,DEFU LANE 10,#02-00,EVER EXPAND BUILDING,539218,67533833
EVERGREEN RENOVATION & CONSTRUCTION PTE LTD,201317805W,General Builder Class 2,GB2,Restricted to undertaking general building works for an estimated price not exceeding $6 million,2/5/18,26,EVERGREEN AVENUE,na,EASTERN GARDEN,468942,62432221
EVERISE CONSTRUCTION PTE LTD,201024493K,General Builder Class 2,GB2,na,12/3/19,80,PLAYFAIR ROAD,#02-15,KAPO FACTORY,367998,62823295
EVERLAST PROJECTS PTE LTD,200105989N,General Builder Class 2,GB2,na,16/10/16,521A,YISHUN INDUTRIAL PARK A,na,na,768773,65553939
EVERPAINT ENTERPRISE PTE. LTD.,198002427K,General Builder Class 2,GB2,na,6/12/18,143,UBI AVENUE 4,HENSON WAREHOUSE,na,408775,64872966
EVERSENDAI ENGINEERING PTE LTD,199801212M,Specialist Builder (Structural Steelwork),SB(SS),na,10/12/16,6001,BEACH ROAD,#18-01A,GOLDEN MILE TOWER,199589,62270335
EVERSENDAI ENGINEERING PTE LTD,199901148E,General Builder Class 1,GB1,na,27/1/18,6001,BEACH ROAD,#18-01A,GOLDEN MILE TOWER,199589,62270335
EVERSTAR ENGINEERING & SERVICES PTE. LTD.,201216808K,Specialist Builder (Structural Steelwork),SB(SS),na,26/8/17,21,BUKIT BATOK CRESCENT,#26-84,WCEGA TOWER,658065,67340510
EXCEL EVERLITE PTE. LTD.,199608087N,General Builder Class 2,GB2,na,26/8/16,61,BUKIT BATOK CRESCENT,#02-03,HENG LOONG BUILDING,658078,67693516
EXCEL MARINE & ENGINEERING PTE. LTD.,201421876C,General Builder Class 2,GB2,na,11/6/17,16,GUL CRESCENT,na,na,629526,68984451
EXCEL PRECAST PTE LTD,200305129H,Specialist Builder (Pre-cast Concrete Work),SB(PC),na,26/6/18,2,TAMPINES INDUSTRIAL STREET 62,na,na,528818,68630895
EXCELTEC PROPERTY MANAGEMENT PTE LTD,199803454G,General Builder Class 1,GB1,na,16/6/18,2,JURONG EAST STREET 21,#05-05,IMM BUILDING,609601,65665055
EXCLUSIVE DESIGN CONSTRUCTION PTE LTD,200202302D,General Builder Class 1,GB1,na,17/6/18,5039,ANG MO KIO INDUSTRIAL PARK 2,#01-485,na,569542,64830418
EXCLUSIVE DESIGN CONSTRUCTION PTE LTD,200619052K,Specialist Builder (Structural Steelwork),SB(SS),na,14/8/18,5039,ANG MO KIO INDUSTRIAL PARK 2,#01-485,na,569542,64830418
EXCLUSIVE ENGINEERING PTE. LTD.,198903443C,General Builder Class 2,GB2,na,18/5/18,1,SUNVIEW ROAD,#05-12,ECO-TECH@SUNVIEW,627615,65700140
EXPAND CONSTRUCTION PTE LTD,S80FC2909F,General Builder Class 1,GB1,na,16/6/18,85,DEFU LANE 10,#02-00,EVER EXPAND BUILDING,539218,62988066
EXPERTISE TECHNOLOGIES PTE LTD,198001094M,General Builder Class 2,GB2,na,22/4/19,31,BUKIT BATOK CRESCENT,#01-34,"SPLENDOUR, THE",658070,66597767
EYOTA ENGINEERING PTE. LTD.,200700482E,Specialist Builder (Structural Steelwork),SB(SS),na,7/4/19,8,BOON LAY WAY,#07-12,8 @TRADEHUB 21,609964,62552728
EYOTA ENGINEERING PTE. LTD.,199102755Z,General Builder Class 2,GB2,na,25/4/19,8,BOON LAY WAY,#07-12,8 @TRADEHUB 21,609964,62552728
F & L REINSTATEMENT PTE. LTD.,200005840G,General Builder Class 2,GB2,na,15/12/18,48,TOH GUAN ROAD EAST,#03-110,ENTERPRISE HUB,608586,63166926
F G (77) PTE. LTD.,200513547D,General Builder Class 1,GB1,na,16/6/18,1,SENANG CRESCENT,#04-01,FG BUILDING,416575,67423228
F G BUILDERS PTE. LTD.,199406961N,General Builder Class 1,GB1,na,16/6/18,1,SENANG CRESCENT,#04-01,FG BUILDING,416575,67423228
F R R CONSTRUCTION PTE. LTD.,200902852E,General Builder Class 2,GB2,na,13/3/19,205,BALESTIER ROAD,#02-05,THE MEZZO,329682,62525927
F&L BUILDERS CONSTRUCTION PTE.LTD.,201320988K,General Builder Class 2,GB2,na,17/6/19,2,JOO CHIAT ROAD,#03 -1137,JOO CHIAT COMPLEX,420002,68412919
FA YEW CONSTRUCTION PTE LTD,198305358E,General Builder Class 2,GB2,na,16/6/18,39,SUNGEI KADUT STREET 6,na,SUNGEI KADUT INDUSTRIAL ESTATE,728870,63678291
FA YEW CONSTRUCTION PTE LTD,200603628H,Specialist Builder (Structural Steelwork),SB(SS),na,16/6/18,39,SUNGEI KADUT STREET 6,na,SUNGEI KADUT INDUSTRIAL ESTATE,728870,63678291
FABRIGLASS CONSTRUCTION PTE. LTD.,199200959D,General Builder Class 2,GB2,na,13/5/19,2022,BUKIT BATOK STREET 23,#03-146,na,659527,65665595
FACADE HOLDINGS PTE LTD,198903189N,General Builder Class 1,GB1,na,16/6/18,199,UBI AVENUE 4,na,EVAN LIM WAREHOUSE,408803,65850772
FACILITY LINK PTE LTD,201408844Z,General Builder Class 2,GB2,na,25/8/18,4,SUNGEI KADUT CRESCENT,na,na,728688,64382822
FADELY ENTERPRISES & CONSTRUCTION PTE LTD,199801034K,General Builder Class 2,GB2,na,8/7/18,120,LOWER DELTA ROAD,#13-01,CENDEX CENTRE,169208,62733091
FAE CONSTRUCTION PTE. LTD.,200618947G,Specialist Builder (Ground Support and Stabilisation Works),SB(GS),na,16/5/19,29,TUAS AVENUE 3,na,na,639420,68631633
FAE CONSTRUCTION PTE. LTD.,199906542Z,Specialist Builder (Piling Works),SB(PW),na,16/5/19,29,TUAS AVENUE 3,na,na,639420,68631633
FAITH REVOLUTION ENGINEERING PTE LTD,201539689K,General Builder Class 2,GB2,na,12/5/19,10,Anson Road,#27-18,International Plaza,79903,65631140
FALCON INCORPORATION PTE. LTD.,199601835K,General Builder Class 2,GB2,na,10/1/19,4010,ANG MO KIO AVENUE 10,#04-06,TECHPLACE 1,569626,68531626
FALCON PILING PTE LTD,199803578K,Specialist Builder (Piling Works),SB(PW),na,30/6/18,1,TUAS VIEW PLACE,#03-14,WESTLINK ONE,637433,66945211
FALKCON INTERIOR PTE. LTD.,200405656K,General Builder Class 2,GB2,na,2/7/18,20,LOYANG STREET,na,na,508849,65462112
FAR EAST CONTRACTOR PTE LTD,200912241M,General Builder Class 1,GB1,na,16/6/18,8,LORONG 27A GEYLANG,#02-09,GUILIN BUILDING,388106,67482113
FASTRACK PROJECTS PTE. LTD.,200104293D,General Builder Class 1,GB1,na,27/6/18,1,FIFTH AVENUE,#04-04/05,GUTHRIE HOUSE,268802,65004600
FCC BUILDERS PTE. LTD.,199303760C,General Builder Class 2,GB2,na,27/8/16,18,KAKI BUKIT ROAD 3,#03-08,ENTREPRENEUR BUSINESS CENTRE,415978,67453565
FEC SERVICES PTE LTD,198900924K,General Builder Class 2,GB2,na,16/6/18,61,KAKI BUKIT AVENUE 1,#02-09,SHUN LI INDUSTRIAL PARK,417943,67457355
FEI YUE DEVELOPMENT PTE. LTD.,200912835K,General Builder Class 2,GB2,na,10/11/18,11,WOODLANDS CLOSE,#08-25,WOODLANDS 11,737853,65704869
FELICITY ENGINEERING PTE LTD,201011530H,General Builder Class 2,GB2,na,26/6/18,35,ABINGDON ROAD,na,na,499941,65430281
FENG BIAO CONSTRUCTION PTE. LTD.,198202719K,General Builder Class 2,GB2,na,11/9/18,200,JALAN SULTAN,#12-07,TEXTILE CENTRE,199018,98878995
FENG DA CONSTRUCTION PTE LTD,200804913H,General Builder Class 2,GB2,na,26/1/19,108C,MCNAIR RD,#08-222,TOWNER HEIGHTS,324108,63966408
FENG MING CONSTRUCTION PTE LTD,201107890M,General Builder Class 1,GB1,na,16/6/18,288,JALAN BESAR,na,FENG MING BUILDING,208951,64876549
FENG MING CONSTRUCTION PTE LTD,201205931M,Specialist Builder (Structural Steelwork),SB(SS),na,13/6/17,288,JALAN BESAR,na,FENG MING BUILDING,208951,64876549
FENG SHENG METAL WORKS PRIVATE LIMITED,201224944W,General Builder Class 2,GB2,na,23/6/17,3,DEFU LANE 8,na,na,539307,64418911
FENG SHUN CONSTRUCTION PTE. LTD.,201107595D,General Builder Class 2,GB2,na,10/6/17,47B,KRETA AYER ROAD,na,na,89006,98585548
"FERROVIAL AGROMAN, S.A. (SINGAPORE BRANCH)",198800866E,General Builder Class 1,GB1,na,16/5/19,30,CECIL STREET,#27-50,PRUDENTIAL TOWER,49712,66312787
FEYANG CONSTRUCTION & TRADING PTE LTD,199400038D,General Builder Class 2,GB2,na,27/7/18,3006,UBI ROAD 1,#02-366,na,408700,67442890
FIBER TECH SOLUTIONS PTE. LTD.,200811713H,General Builder Class 2,GB2,na,26/2/17,48,MACTAGGART ROAD,#05-04,na,368088,68831029
FIBRWRAP CONSTRUCTION PTE. LTD.,200415600Z,General Builder Class 2,GB2,na,16/6/18,6,CLEMENTI LOOP,#04-00,na,129814,68985248
FIGTREE PROJECTS PTE. LTD.,198900622E,General Builder Class 1,GB1,na,19/9/16,8,JALAN KILANG BARAT,#03-01,CENTRAL-LINK,159351,62789722
FINEBUILD SYSTEMS PTE LTD,199306891N,General Builder Class 1,GB1,na,16/6/18,74,TAGORE LANE,#02-00,SINDO INDUSTRIAL ESTATE,787498,62857781
FINELINE CONSTRUCTION PTE. LTD.,201329394Z,General Builder Class 2,GB2,na,3/3/18,7030,ANG MO KIO AVENUE 5,#09-105,NORTHSTAR@AMK,569880,90697485
FIRST PARAGON ENTERPRISE PTE LTD,200310118C,General Builder Class 2,GB2,na,16/6/18,3007,UBI ROAD 1,#05-446,na,408701,67465950
FIZ & DANE CONSTRUCTION PTE. LTD.,201219008D,General Builder Class 2,GB2,na,19/4/19,2,JOO CHIAT ROAD,#03 -1137,JOO CHIAT COMPLEX,420002,97567205
FK FOUNDATIONS PTE LTD,198801302H,General Builder Class 2,GB2,na,16/9/16,41,KALLANG PUDDING ROAD,#03-02,GOLDEN WHEEL BUILDING,349316,64434185
FK FOUNDATIONS PTE LTD,200003827E,Specialist Builder (Piling Works),SB(PW),na,16/9/16,41,KALLANG PUDDING ROAD,#03-02,GOLDEN WHEEL BUILDING,349316,64434185
FL WONG CONSTRUCTION PTE LTD,201220753E,General Builder Class 1,GB1,na,30/9/18,92,HILLVIEW AVENUE,#02-08,na,669592,67621855
FLEX SYSTEMS INTERNATIONAL PRIVATE LIMITED,200815318K,General Builder Class 2,GB2,na,30/8/18,1023,YISHUN INDUSTRIAL PARK A,#01-05,na,768762,67572060
FLEXI SYSTEMS (SINGAPORE) PTE LTD,201528716H,General Builder Class 2,GB2,na,19/4/19,200,WOODLANDS INDUSTRIAL PARK E9,na,WOODLANDS INDUSTRIAL PARK E,757877,64689008
FLOWTEK ENGINEERING PTE. LTD.,200921219D,General Builder Class 2,GB2,na,30/7/17,61,WOODLANDS INDUSTRIAL PARK E9,#03-01/02,E9 PREMIUM,757047,63528732
FM SOLUTIONS & SERVICES PTE LTD,198902264M,General Builder Class 1,GB1,na,24/11/18,8,BURN ROAD,#05-02,TRIVEX,369977,66343155
FMC STRUCTURE PRIVATE LIMITED,200619417M,General Builder Class 2,GB2,na,16/6/18,9008,TAMPINES STREET 93,#02-13,TAMPINES INDUSTRIAL PARK A,528843,67893982
FMC SYSTEM (ASIA) PTE LTD,201003424Z,General Builder Class 2,GB2,na,20/6/17,25,KAKI BUKIT CRESCENT,na,KAKI BUKIT TECHPARK I,416256,67490100
FOCUS BUILDERS PTE. LTD.,200808343E,General Builder Class 2,GB2,na,16/6/18,30,DEFU LANE 10,#01-100,na,539211,68582991
FONDA GLOBAL ENGINEERING PTE. LTD.,200512066H,Specialist Builder (Pre-cast Concrete Work),SB(PC),na,7/11/16,45,SUNGEI KADUT LOOP,na,FONDA GLOBAL BUILDING,729495,63621435
FONDA GLOBAL ENGINEERING PTE. LTD.,200511763C,General Builder Class 1,GB1,na,16/6/18,45,SUNGEI KADUT LOOP,na,FONDA GLOBAL BUILDING,729495,63621435
FONDA GLOBAL ENGINEERING PTE. LTD.,197902140D,Specialist Builder (Piling Works),SB(PW),na,19/3/19,45,SUNGEI KADUT LOOP,na,FONDA GLOBAL BUILDING,729495,63621435
FONG HONG ENGINEERING (S) PTE. LTD.,200905332R,General Builder Class 2,GB2,na,20/2/17,37,KAKI BUKIT INDUSTRIAL TERRACE,na,na,416117,64812222
FONG YUE DEVELOPMENT PTE. LTD.,199607238N,General Builder Class 2,GB2,na,4/11/17,190,WOODLANDS INDUSTRIAL PARK E5,#08-06,WOODLANDS BIZHUB,757516,65704869
FONGSOON ENGINEERING (S) PTE LTD,199901910R,General Builder Class 2,GB2,na,5/4/19,11A,JOO YEE ROAD,na,na,619199,62801824
FOO HENG CONTRACTS PTE. LTD.,198900982E,General Builder Class 2,GB2,na,30/10/18,50,TUAS AVENUE 11,#03-02,TUAS LOT,639107,65700611
FOREGROUND ENGINEERING PTE. LTD.,199604759N,Specialist Builder (Ground Support and Stabilisation Works),SB(GS),na,27/1/18,140,PAYA LEBAR ROAD,#03-11,AZ @ PAYA LEBAR,409015,65155408
FOREGROUND ENGINEERING PTE. LTD.,199004048G,Specialist Builder (Piling Works),SB(PW),na,27/1/18,140,PAYA LEBAR ROAD,#03-11,AZ @ PAYA LEBAR,409015,65155408
FOREGROUND ENGINEERING PTE. LTD.,199601658Z,General Builder Class 2,GB2,na,24/12/17,140,PAYA LEBAR ROAD,#03-11,AZ @ PAYA LEBAR,409015,65155408
FORM DEVELOPMENTS PTE. LTD.,201128701G,General Builder Class 2,GB2,na,28/10/18,108,NEYTHAL ROAD,na,na,628596,97700213
FORMATIVE TRADING,199707387E,General Builder Class 2,GB2,na,27/6/18,354,CLEMENTI AVENUE 2,#01-219,CLEMENTI AVENUE 2 SHOPPING CENTRE,120354,67732633
FORTE BUILDER PTE. LTD.,200718918D,General Builder Class 1,GB1,na,2/1/17,30,TAGORE LANE,na,na,787484,64567667
FORTIZ POWER ENGINEERING PTE LTD,198802269D,General Builder Class 2,GB2,na,17/6/18,192,WATERLOO STREET,#02-03,SKYLINE BUILDING,187966,63392456
